cod_nat_dicrim;lib_dicrim;lib_bassin_risques;cod_commune;lib_commune;lib_commentaire;dat_program_dicrim_deb;dat_program_dicrim_fin;dat_etu_dicrim_deb;dat_etu_dicrim_fin;dat_publi_dicrim;dat_reception_min;dat_maj
86PREF20150291;Voulême;"";86295;Voulême;"";;;;;2013-11-21 00:00:00;;
50DDTM20150252;Les Chéris;"";50132;Les Chéris;"";;;;;2010-10-21 00:00:00;;2015-11-18 00:00:00
86PREF20150290;Vouillé;"";86294;Vouillé;"";;;;;2012-01-01 00:00:00;;
50DDTM20150251;Le Val-Saint-Père;"";50616;Le Val-Saint-Père;"";;;;;2009-05-12 00:00:00;;2015-11-18 00:00:00
86PREF20150289;Vivonne;"";86293;Vivonne;"";;;;;2013-12-05 00:00:00;;
50DDTM20150250;Le Rozel;"";50442;Le Rozel;"";;;;;2008-12-08 00:00:00;;2015-11-18 00:00:00
86PREF20150285;Vigeant (Le);"";86289;Le Vigeant;"";;;;;2014-09-17 00:00:00;;
50DDTM20150249;Le Mesnil-Tôve;"";50323;Le Mesnil-Tôve;"";;;;;2008-10-12 00:00:00;;2015-11-18 00:00:00
86PREF20150283;Vézières;"";86287;Vézières;"";;;;;2013-01-31 00:00:00;;
86PREF20150281;Verrières;"";86285;Verrières;"";;;;;2011-01-01 00:00:00;;
86PREF20150277;Vaux-sur-Vienne;"";86279;Vaux-sur-Vienne;"";;;;;2015-01-01 00:00:00;;
86PREF20150276;Vaux;"";86278;Vaux;"";;;;;2015-10-15 00:00:00;;
86PREF20150272;Trois-Moutiers (Les);"";86274;Les Trois-Moutiers;"";;;;;2015-01-01 00:00:00;;
50DDTM20150248;Le Mesnil-Raoult;"";50319;Le Mesnil-Raoult;"";;;;;2006-11-07 00:00:00;;2015-11-18 00:00:00
86PREF20150257;Tercé;"";86268;Tercé;"";;;;;2012-01-01 00:00:00;;
86PREF20150256;Surin;"";86266;Surin;"";;;;;2015-07-16 00:00:00;;
86PREF20150143;Jaunay-Clan;"";86115;Jaunay-Clan;"";;;;;2010-01-01 00:00:00;;
50DDTM20150247;Le Mesnil-Gilbert;"";50312;Le Mesnil-Gilbert;"";;;;;2008-11-04 00:00:00;;2015-11-18 00:00:00
50DDTM20150246;Le Mesnil-au-Val;"";50305;Le Mesnil-au-Val;"";;;;;2016-02-26 00:00:00;;2016-06-15 00:00:00
86PREF20150252;Sillars;"";86262;Sillars;"";;;;;2011-01-01 00:00:00;;
86PREF20150251;Sèvres-Anxaumont;"";86261;Sèvres-Anxaumont;"";;;;;2015-01-01 00:00:00;;
50DDTM20150245;Le Mesnil-Adelée;"";50300;Le Mesnil-Adelée;"";;;;;2009-11-05 00:00:00;;2015-11-18 00:00:00
86PREF20150248;Scorbé-Clairvaux;"";86258;Scorbé-Clairvaux;"";;;;;2011-01-01 00:00:00;;
86PREF20150247;Savigny-sous-Faye;"";86257;Savigny-sous-Faye;"";;;;;2012-01-01 00:00:00;;
50DDTM20150244;Le Lorey;"";50279;Le Lorey;"";;;;;2009-06-18 00:00:00;;2015-11-18 00:00:00
86PREF20150245;Savigné;"";86255;Savigné;"";;;;;2013-12-19 00:00:00;;
86PREF20150239;Saint-Secondin;"";86248;Saint-Secondin;"";;;;;2015-01-01 00:00:00;;
86PREF20150238;Saint-Saviol;"";86247;Saint-Saviol;"";;;;;2013-01-01 00:00:00;;
86PREF20150236;Saint-Sauveur;"";86245;Saint-Sauveur;"";;;;;2015-01-01 00:00:00;;
86PREF20150231;Saint-Pierre-d'Exideuil;"";86237;Saint-Pierre-d'Exideuil;"";;;;;2013-12-10 00:00:00;;
86PREF20150229;Saint-Maurice-la-Clouère;"";86235;Saint-Maurice-la-Clouère;"";;;;;2011-01-01 00:00:00;;
50DDTM20150243;La Meauffe;"";50297;La Meauffe;"";;;;;2006-09-15 00:00:00;;2015-11-18 00:00:00
86PREF20150228;Saint-Martin-l'Ars;"";86234;Saint-Martin-l'Ars;"";;;;;2015-01-01 00:00:00;;
86PREF20150227;Valdivienne;"";86233;Valdivienne;"";;;;;2010-01-01 00:00:00;;
