Insee;num_risque_jo;annee
6038;1.0;2015
6043;1.0;2014
6044;16.0;2012
6044;1.0;2015
6044;1.0;2015
6044;1.0;2015
6046;16.0;2013
6046;1.0;2014
6046;16.0;2014
6046;1.0;2015
6048;1.0;2014
6048;1.0;2014
6048;16.0;2014
6048;16.0;2014
6048;1.0;2014
6048;16.0;2015
6054;1.0;2014
6054;16.0;2014
6054;16.0;2015
6054;1.0;2015
6057;1.0;2014
6057;1.0;2014
6057;16.0;2014
6057;1.0;2014
6057;16.0;2015
6059;16.0;2013
6059;1.0;2014
6059;1.0;2015
6060;16.0;2012
6060;16.0;2013
6060;16.0;2014
6060;1.0;2014
6060;16.0;2014
6060;1.0;2015
6064;1.0;2014
6064;1.0;2015
6065;1.0;2015
6065;1.0;2015
6066;1.0;2014
6066;16.0;2015
6067;1.0;2014
6067;16.0;2014
6068;16.0;2014
6069;16.0;2012
6069;1.0;2013
6069;1.0;2014
6069;16.0;2015
6069;1.0;2015
6069;1.0;2015
6073;16.0;2014
6074;1.0;2014
6075;1.0;2013
6075;1.0;2014
6076;16.0;2014
6077;16.0;2014
6077;1.0;2014
6077;16.0;2015
6079;16.0;2012
6079;1.0;2013
6079;16.0;2014
6079;1.0;2015
6079;16.0;2016
6083;1.0;2014
6083;16.0;2014
6083;1.0;2014
6083;16.0;2014
6083;16.0;2014
6084;1.0;2014
6084;1.0;2015
6084;1.0;2016
6085;16.0;2012
6085;1.0;2013
6085;1.0;2015
6085;1.0;2015
6085;16.0;2016
6088;32.0;2012
6088;16.0;2012
6088;1.0;2013
6088;1.0;2013
6088;16.0;2013
6088;1.0;2014
6088;16.0;2014
6088;16.0;2014
6088;16.0;2014
6088;1.0;2014
6088;16.0;2015
6088;16.0;2015
6088;16.0;2015
6088;1.0;2015
6088;1.0;2015
6088;16.0;2016
6089;16.0;2013
6089;1.0;2015
6090;16.0;2013
6090;1.0;2013
6090;1.0;2014
6090;1.0;2015
6090;1.0;2015
6091;1.0;2014
6091;16.0;2014
6091;16.0;2015
6091;1.0;2015
6092;16.0;2014
6092;1.0;2014
6092;1.0;2014
6092;16.0;2014
6092;1.0;2014
6093;16.0;2015
6095;1.0;2015
6099;1.0;2016
6103;1.0;2013
6104;1.0;2014
6104;16.0;2014
6105;1.0;2015
6108;1.0;2013
6108;1.0;2015
6111;16.0;2014
6112;1.0;2012
6112;1.0;2015
6112;16.0;2016
6113;1.0;2014
6113;16.0;2014
6114;1.0;2014
6114;16.0;2014
6114;1.0;2015
6114;16.0;2015
6117;1.0;2015
6118;16.0;2013
6121;1.0;2015
6122;16.0;2014
6122;1.0;2014
6122;16.0;2015
6122;1.0;2015
6123;1.0;2013
6123;1.0;2014
6123;1.0;2015
6124;16.0;2013
6127;16.0;2015
6128;16.0;2013
6128;16.0;2014
6128;16.0;2015
6128;1.0;2015
6134;1.0;2012
6136;1.0;2014
6136;1.0;2014
6136;16.0;2014
6136;16.0;2014
6136;16.0;2015
6136;1.0;2015
6138;1.0;2015
6147;1.0;2014
6147;16.0;2014
6147;1.0;2014
6148;1.0;2014
6148;1.0;2015
6149;1.0;2014
6149;16.0;2014
6149;21.0;2014
6149;1.0;2015
6149;16.0;2015
6149;1.0;2015
6150;16.0;2014
6150;1.0;2014
6150;1.0;2015
6150;1.0;2015
6150;1.0;2015
6151;16.0;2014
6151;1.0;2014
6152;1.0;2015
6155;1.0;2013
6155;1.0;2014
6155;1.0;2015
6155;1.0;2015
