,CODGEO,MED
0,01001,22253.0
1,01002,21765.7142857143
2,01004,19236.6666666667
3,01005,21743.8888888889
4,01006,20354.4
5,01007,21332.8571428571
6,01008,22784.0
7,01009,20916.3333333333
8,01010,20284.0
9,01011,21943.5483870968
10,01012,20552.6666666667
11,01013,18315.3846153846
12,01014,18930.0
13,01015,21105.5555555556
14,01016,19225.7142857143
15,01017,18028.0952380952
17,01021,22717.3333333333
18,01022,18276.6666666667
20,01024,20825.3333333333
21,01025,20354.7826086957
22,01026,20137.5
23,01027,21960.0
24,01028,20542.0
25,01029,18817.3333333333
26,01030,19806.5217391304
27,01031,17950.0
28,01032,20159.6153846154
29,01033,18652.6666666667
30,01034,18177.3333333333
31,01035,20551.0
32,01036,20076.2608695652
33,01037,20288.0
34,01038,20893.0
35,01039,19588.5714285714
36,01040,20624.2857142857
37,01041,21815.2380952381
38,01042,22951.2222222222
39,01043,25074.0
40,01044,23150.4166666667
41,01045,22832.380952381
42,01046,20568.6666666667
43,01047,24775.3333333333
44,01049,23803.8888888889
45,01050,19294.7619047619
47,01052,22974.6666666667
48,01053,17712.6666666667
49,01054,24543.3333333333
50,01056,18958.9743589744
51,01057,19423.3333333333
52,01058,19174.2857142857
54,01060,21382.380952381
55,01061,22537.1428571429
56,01062,25502.3809523809
57,01063,22866.3333333333
58,01064,19713.8888888889
59,01065,23157.3333333333
61,01067,20748.2608695652
62,01068,19200.0
63,01069,22324.7619047619
64,01071,35570.303030303
65,01072,21771.9047619048
66,01073,21398.75
67,01074,20505.2380952381
68,01075,23240.0
69,01076,17903.3333333333
70,01077,20230.8333333333
71,01078,38015.0
72,01079,19084.6666666667
73,01080,20796.25
74,01081,21377.3333333333
75,01082,21257.6923076923
76,01083,22185.0
77,01084,20178.5833333333
78,01085,21667.2413793103
79,01087,21748.8888888889
80,01088,23901.6
81,01089,21056.6666666667
82,01090,21334.6153846154
83,01091,24215.0
84,01092,21913.8095238095
85,01093,19553.3333333333
86,01094,19911.4285714286
87,01095,20629.1428571429
88,01096,20772.5
89,01097,20439.2857142857
90,01098,19871.3333333333
91,01099,23156.5
92,01100,19520.2777777778
93,01101,21758.0
94,01102,20558.0
95,01103,38130.6666666667
96,01104,22849.0
97,01105,25602.0
98,01106,20138.5714285714
99,01107,21235.2380952381
100,01108,19694.2857142857
101,01109,30883.8095238095
102,01110,21118.6666666667
103,01111,21024.4444444444
104,01112,20368.5714285714
105,01113,19611.1111111111
106,01114,22956.0
107,01115,20125.5555555556
108,01116,20747.2413793103
109,01117,20405.0
110,01118,22592.0
111,01119,18066.6666666667
112,01121,17290.0
113,01122,22601.5384615385
114,01123,21040.0
115,01124,19572.0
116,01125,19822.8571428571
117,01127,21541.6666666667
118,01128,19197.5
119,01129,21840.4761904762
120,01130,21010.5
121,01133,21068.0952380952
122,01134,21361.5384615385
123,01135,34383.0434782609
124,01136,21857.5757575758
125,01138,18624.2857142857
126,01139,18041.0
127,01140,21489.6
128,01141,21302.6434782609
129,01142,21997.619047619
130,01143,39768.8888888889
131,01144,19774.6666666667
132,01145,19726.5217391304
133,01146,21622.5
134,01147,18512.0
135,01148,20580.0
136,01149,23737.5
137,01150,21095.8064516129
138,01151,21173.2
139,01152,23951.2903225806
140,01153,42975.652173913
141,01154,19541.1111111111
142,01155,18299.3333333333
143,01156,22873.75
144,01157,24135.5
145,01158,31045.5555555556
146,01159,20658.0
147,01160,26574.4444444444
149,01163,19955.2380952381
150,01165,22258.75
151,01166,23755.2380952381
152,01167,21735.0
153,01169,22553.0434782609
154,01170,20255.3846153846
155,01171,21438.6666666667
156,01172,18724.0
157,01173,29900.5555555556
158,01174,18951.5
159,01175,19430.0
160,01176,20267.3333333333
161,01177,22345.3846153846
162,01179,20410.0
163,01180,36543.0
164,01181,21929.0476190476
165,01182,19507.3333333333
166,01183,22053.8095238095
167,01184,20140.4166666667
168,01185,19712.380952381
170,01187,18260.6666666667
171,01188,20822.3809523809
172,01189,23832.0
173,01190,20028.0952380952
174,01191,20147.1428571429
175,01192,19972.6666666667
176,01193,20157.3333333333
177,01194,20627.7777777778
178,01195,22398.6956521739
179,01196,20276.1904761905
180,01197,23834.2857142857
181,01198,23016.6666666667
182,01199,19292.0
183,01200,17689.5238095238
184,01202,20030.5263157895
185,01203,21011.6666666667
186,01204,19469.5
187,01205,22236.0
188,01206,21806.6666666667
189,01207,23540.0
190,01208,20979.3333333333
191,01209,24234.0
192,01210,18585.3846153846
193,01211,21107.1428571429
194,01212,18575.0
195,01213,21011.1111111111
196,01214,21350.75
198,01216,19755.3571428571
200,01219,16534.2857142857
201,01221,19695.0
202,01224,20535.0
203,01225,23846.9565217391
204,01227,21121.5
205,01228,21391.9047619048
206,01229,20585.2380952381
207,01230,18632.0
208,01231,20517.1428571429
209,01232,19900.8
210,01233,19992.0
211,01234,20639.3333333333
212,01235,20257.5
213,01236,20007.7777777778
214,01237,19887.2222222222
215,01238,24150.0
216,01239,21595.5
217,01240,20177.5
218,01241,24282.8
219,01242,17876.6666666667
220,01243,22746.5
221,01244,21031.5
222,01245,21747.9166666667
223,01246,19828.6666666667
224,01247,23403.488372093
225,01248,24492.4242424242
226,01249,22260.0
227,01250,23962.0
228,01252,21525.0
229,01254,24902.8
230,01255,19559.3333333333
231,01257,24537.5
232,01258,22061.935483871
233,01259,20792.5
234,01260,24896.0
235,01261,23971.7391304348
236,01262,19820.75
237,01263,21584.6153846154
238,01264,21514.0
239,01265,17686.0
240,01266,19571.1263736264
241,01267,21269.0
242,01268,20674.4444444444
243,01269,15975.1666666667
244,01271,22134.0
245,01272,20317.619047619
246,01273,20002.2222222222
247,01274,17906.0
248,01275,26989.0
249,01276,22752.4358974359
250,01277,20352.6086956522
252,01280,19926.5
253,01281,33872.2222222222
254,01282,21164.2307692308
255,01283,16150.0
256,01284,19062.5
257,01285,25868.0
258,01286,23188.5714285714
259,01288,32973.0
260,01289,21395.3333333333
261,01290,25422.0
262,01291,20997.2222222222
263,01292,22006.6666666667
264,01293,24263.6
265,01294,20365.2380952381
266,01295,20760.0
267,01296,20019.6153846154
268,01297,23681.25
269,01298,26302.6923076923
270,01299,21084.5833333333
271,01300,23658.0
272,01301,22259.0476190476
273,01302,22693.3333333333
274,01303,19020.0
275,01304,19640.0
276,01305,17906.0
277,01306,17892.6666666667
278,01307,19950.0
279,01308,33675.2380952381
281,01310,20040.4761904762
283,01312,20708.4848484848
284,01313,36303.1428571429
285,01314,21410.0
286,01316,20211.0
287,01317,20583.7916666667
288,01318,23984.2857142857
289,01319,21436.1111111111
290,01320,21307.0
291,01321,24186.6666666667
292,01322,25396.6666666667
293,01323,20088.8
294,01325,23167.9166666667
295,01328,21251.4285714286
296,01329,18697.0
297,01330,16541.25
298,01331,18011.0
299,01332,22587.5
300,01333,23323.6
301,01334,21528.0952380952
302,01335,21148.0
303,01336,20869.0476190476
304,01337,20408.875
305,01338,20253.3333333333
306,01339,26314.6153846154
307,01340,22296.6666666667
308,01341,21346.0
309,01342,25164.5
310,01343,20618.8461538462
311,01344,22862.6086956522
312,01345,20068.6666666667
313,01346,19329.0
314,01347,25442.1739130435
315,01348,19864.5833333333
316,01349,24707.0
317,01350,20776.7857142857
318,01351,20031.1111111111
319,01352,19565.0
320,01353,24503.0
321,01354,28119.5652173913
322,01355,22127.0833333333
323,01356,22065.05
324,01357,17193.0
325,01358,20052.0
326,01359,22859.5
327,01360,34650.6666666667
328,01361,24745.0
329,01362,24704.0
330,01363,20723.3333333333
331,01364,19291.1538461538
332,01365,21449.0
333,01366,22347.3333333333
334,01367,18532.5
335,01368,20353.3333333333
336,01369,23745.652173913
337,01370,17182.0
338,01371,21506.0
339,01372,20927.0
340,01373,20878.5714285714
341,01374,22348.75
342,01375,20989.2
343,01376,19895.652173913
344,01378,24438.6666666667
345,01379,19857.3333333333
346,01380,18148.0
347,01381,20300.8
348,01382,23198.8888888889
349,01383,19860.0
350,01384,17338.3333333333
351,01385,22027.3333333333
352,01386,23445.0
353,01387,20432.380952381
354,01388,18670.6666666667
355,01389,20168.0952380952
356,01390,21086.9565217391
357,01391,21720.6666666667
358,01392,22390.0
359,01393,21457.3913043478
360,01396,17939.3333333333
361,01397,35131.5
362,01398,22653.3333333333
363,01399,37003.8095238095
364,01400,20101.4285714286
365,01401,38731.6666666667
366,01402,18448.8888888889
367,01403,19066.25
368,01404,22981.9047619048
369,01405,19804.8
370,01406,16298.0952380952
371,01407,18746.0
372,01408,19579.5833333333
373,01409,20844.064516129
374,01410,22323.6
375,01411,19618.9285714286
376,01412,20947.8260869565
378,01414,22023.2
379,01415,20515.0
380,01416,17492.0
381,01417,19572.8095238095
382,01418,25559.6428571429
383,01419,33112.5
384,01420,16875.3333333333
385,01421,19906.0
386,01422,22070.0
387,01423,25128.8888888889
388,01424,26886.1904761905
389,01425,19869.6
390,01426,20769.5238095238
391,01427,20565.3333333333
392,01428,20031.4285714286
393,01429,20100.6666666667
394,01430,21103.9285714286
395,01431,20875.0
396,01432,20957.0833333333
397,01433,18367.1428571429
398,01434,22603.3333333333
399,01435,32366.0
400,01436,34209.2
401,01437,17985.7083333333
403,01441,19275.2380952381
404,01442,21576.0
405,01443,21065.4444444444
406,01444,20110.0
407,01445,21522.5
408,01446,21928.5714285714
409,01447,19764.6666666667
410,01448,26512.5
411,01449,23700.0
412,01450,22887.7777777778
413,01451,21748.8
414,01452,18166.0
415,01453,18541.3333333333
416,01454,20043.3333333333
418,01457,18754.8571428571
419,02001,17699.4444444444
420,02002,19300.0
421,02003,19670.0
422,02004,17131.7857142857
423,02005,20752.6086956522
424,02006,19623.9285714286
425,02007,20893.3333333333
426,02008,17451.9047619048
427,02009,18919.3333333333
428,02010,16964.0833333333
429,02011,21116.6666666667
431,02013,19453.75
432,02014,19243.3333333333
434,02016,18675.0
435,02017,19462.0
436,02018,17751.6
437,02019,18129.7435897436
438,02020,17380.0
439,02021,15107.3333333333
440,02022,18486.0
443,02025,20669.3333333333
444,02026,18660.0
445,02027,15978.6666666667
446,02028,19422.0
447,02029,20722.0
448,02030,18675.1612903226
449,02031,15211.5217391304
450,02032,14825.3571428571
451,02033,20093.3333333333
452,02034,20864.0
453,02035,16998.0952380952
455,02037,18602.0
457,02039,16505.0
458,02040,15867.8260869565
459,02041,19238.0952380952
460,02042,21077.3333333333
463,02046,19363.4782608696
464,02047,17471.5384615385
465,02048,21024.2857142857
466,02049,20556.4
467,02050,17749.0476190476
468,02051,23689.0
469,02052,17321.5
470,02053,21060.0
471,02054,19069.2410714286
472,02055,20568.0
473,02056,19526.0
474,02057,15358.0
475,02058,18369.2307692308
476,02059,15577.9166666667
477,02060,20524.0
478,02061,17326.9565217391
479,02062,18716.0
480,02063,17340.6666666667
481,02064,17962.6666666667
482,02065,17419.1304347826
483,02066,21332.380952381
484,02067,17322.0
486,02069,16121.3333333333
487,02070,18286.9565217391
488,02071,20341.3333333333
489,02072,20547.7777777778
490,02073,18828.125
491,02074,18774.347826087
492,02075,19140.3333333333
493,02076,20757.6923076923
494,02077,19971.3043478261
495,02078,19336.0
496,02079,15350.9523809524
497,02080,22672.0
498,02081,19987.0555555556
499,02082,17928.0
500,02083,19696.6666666667
501,02084,21136.6666666667
502,02085,19353.8095238095
503,02086,19566.0
506,02089,19828.3333333333
507,02090,19165.0
509,02093,17070.6666666667
510,02094,21817.2
511,02095,13870.0
512,02096,19598.3333333333
513,02097,18193.3333333333
514,02098,21432.6666666667
515,02099,21679.5
516,02100,16660.0
517,02101,17281.25
518,02102,21126.1904761905
519,02103,17775.0
520,02104,21188.8
521,02105,19921.9047619048
522,02106,17309.0
524,02108,19073.9130434783
525,02109,17353.3333333333
526,02110,17519.0476190476
527,02111,20482.6666666667
528,02112,18586.6666666667
529,02114,20608.0
530,02115,17321.4285714286
531,02116,16076.5714285714
533,02118,19950.4347826087
534,02119,18639.0476190476
535,02120,18346.2083333333
536,02121,17611.6666666667
538,02123,18747.3333333333
539,02124,18731.3333333333
540,02125,20968.5714285714
541,02126,16041.3333333333
542,02127,17578.3333333333
543,02128,20935.0555555556
545,02130,17529.0
546,02131,20550.5
547,02132,20554.380952381
548,02133,15650.8695652174
549,02134,16817.0
550,02135,16111.25
551,02136,16508.6666666667
552,02137,18932.8571428571
553,02138,22592.6666666667
554,02139,20970.6666666667
555,02140,18682.1739130435
556,02141,16101.0
557,02142,21742.0
558,02143,16486.8
559,02144,21336.1904761905
560,02145,20204.2857142857
562,02147,19077.0
563,02148,19372.380952381
566,02151,24686.0
568,02153,20930.0
569,02154,19604.0
570,02155,22276.0
571,02156,20392.8571428571
572,02157,20151.3333333333
573,02158,17268.0952380952
574,02159,17969.1666666667
575,02160,16902.0
576,02161,22422.380952381
577,02162,18868.0952380952
578,02163,18679.3333333333
579,02164,18298.0952380952
580,02165,17662.7777777778
581,02166,21404.6666666667
582,02167,19188.0555555556
583,02168,17149.0
585,02170,21203.3333333333
587,02172,19841.3333333333
588,02173,15840.0
589,02174,18908.0
590,02175,18820.5555555556
591,02176,16379.5238095238
592,02177,22349.5714285714
593,02178,18633.3333333333
594,02179,20076.6666666667
595,02180,19315.3333333333
597,02182,16955.0
598,02183,20526.4
599,02184,17634.2857142857
600,02185,20092.0
601,02186,21215.2083333333
602,02187,21241.3333333333
603,02188,15571.25
604,02189,15503.2
605,02190,20124.7826086957
606,02191,19275.5
607,02192,21499.0
609,02194,18079.3333333333
610,02195,20402.75
611,02196,20526.5
612,02197,18514.5
613,02198,20659.5833333333
614,02199,18227.5
615,02200,18527.9166666667
616,02201,19849.0476190476
617,02203,17588.0
619,02205,17815.7142857143
621,02207,22679.5238095238
622,02208,21134.1935483871
623,02209,16940.9523809524
624,02210,19712.0833333333
625,02211,19752.5
626,02212,18914.6666666667
627,02213,19078.0952380952
629,02215,19555.0
630,02216,22546.1904761905
631,02217,17966.6666666667
632,02218,19314.2857142857
633,02219,17987.1428571429
634,02220,19565.0
635,02221,21340.9615384615
637,02223,18713.8095238095
638,02224,17082.5
640,02226,19180.0
641,02227,20014.0
642,02228,21521.1538461538
644,02230,20388.0952380952
645,02231,17769.0476190476
646,02232,22993.2142857143
647,02233,22778.6666666667
649,02235,19460.0
650,02236,17819.6153846154
651,02237,17224.2857142857
652,02238,18340.4761904762
653,02239,18049.1304347826
654,02240,16915.652173913
655,02241,18867.8260869565
656,02242,20527.5
657,02243,18040.0
659,02245,19222.6315789474
660,02246,19477.9166666667
661,02248,15868.5
662,02249,21248.5
666,02253,20324.1666666667
667,02254,20147.1428571429
668,02255,18076.4
669,02256,14922.0
670,02257,24701.9230769231
671,02258,19586.0
672,02259,23268.4
673,02260,17585.8333333333
674,02261,19878.0
