,CODGEO,MED
0,01,21122.0
1,02,17765.5555555556
2,03,18491.6666666667
3,04,18658.0
4,05,18848.6956521739
5,06,20162.1739130435
6,07,18663.3333333333
7,08,17622.5833333333
8,09,18084.0
9,10,18693.3333333333
10,11,17230.6666666667
11,12,18670.4166666667
12,13,19424.7142857143
13,14,19402.6666666667
14,15,18214.0
15,16,18756.9230769231
16,17,19144.0
17,18,18973.8095238095
18,19,18880.0
19,21,20462.0
20,22,19341.4285714286
21,23,17301.3043478261
22,24,18264.4444444444
23,25,20226.6666666667
24,26,18930.6666666667
25,27,19841.0
26,28,20310.0
27,29,19748.6666666667
28,2A,19068.0
29,2B,17613.3333333333
30,30,18020.0
31,31,21474.6666666667
32,32,19066.8421052632
33,33,20388.0
34,34,18411.5
35,35,20279.5652173913
36,36,18427.619047619
37,37,19952.0
38,38,20824.6666666667
39,39,19433.4782608696
40,40,19594.0
41,41,19562.7777777778
42,42,18866.1904761905
43,43,18855.5
44,44,20363.8461538462
45,45,20321.6666666667
46,46,18787.8260869565
47,47,18132.1428571429
48,48,18336.5217391304
49,49,19016.6666666667
50,50,18668.6666666667
51,51,19746.6666666667
52,52,18180.6666666667
53,53,18789.0
54,54,19619.4444444444
55,55,18608.0
56,56,19609.3333333333
57,57,19494.2857142857
58,58,18413.3333333333
59,59,18050.6666666667
60,60,20216.1111111111
61,61,18197.8260869565
62,62,17155.3333333333
63,63,20015.2380952381
64,64,20147.2
65,65,18885.3333333333
66,66,17522.0
67,67,21182.2580645161
68,68,21482.6666666667
69,69,20953.3333333333
70,70,18508.0
71,71,18811.3333333333
72,72,19102.0
73,73,20894.5
74,74,23658.0
75,75,25711.0
76,76,19316.5
77,77,21707.2222222222
78,78,25143.9130434783
79,79,18818.6666666667
80,80,18345.0
81,81,18700.5555555556
82,82,18398.8333333333
83,83,19610.9523809524
84,84,18007.3913043478
85,85,19184.4444444444
86,86,19205.7142857143
87,87,19118.0
88,88,18403.0
89,89,19079.5238095238
90,90,19704.0
91,91,22615.2
92,92,25521.9512195122
93,93,16609.4444444444
94,94,21359.1304347826
95,95,20547.6
