,CODGEO,MED13
0,01001,22130.0
1,01002,23213.0
2,01004,19554.0
3,01005,22387.619047619
4,01006,21871.6666666667
5,01007,21650.6666666667
6,01008,23669.5238095238
7,01009,21486.25
8,01010,21015.3333333333
9,01011,22690.0
10,01012,20211.0
11,01013,19534.2857142857
12,01014,19565.7142857143
13,01015,21587.1428571429
14,01016,20532.5
15,01017,18644.7619047619
16,01019,
17,01021,22960.6666666667
18,01022,18782.0
19,01023,
20,01024,21300.5555555556
21,01025,21148.625
22,01026,20546.0
23,01027,22476.0
24,01028,22035.6
25,01029,19184.0
26,01030,19916.0
27,01031,18541.6666666667
28,01032,20256.0
29,01033,19063.9130434783
30,01034,18549.0
31,01035,21729.6666666667
32,01036,20666.0
33,01037,19788.3333333333
34,01038,20839.0476190476
35,01039,20048.0
36,01040,20274.7619047619
37,01041,21861.9047619048
38,01042,23768.0
39,01043,25327.1333333333
40,01044,24782.7777777778
41,01045,23901.6666666667
42,01046,20972.5
43,01047,25184.0
44,01049,24096.4
45,01050,19179.5
46,01051,
47,01052,24708.0
48,01053,18088.0
49,01054,24336.6666666667
50,01056,17727.5
51,01057,19870.4166666667
52,01058,19369.4202898551
53,01059,
54,01060,21680.4166666667
55,01061,22209.4444444444
56,01062,25964.4444444444
57,01063,23666.0
58,01064,19868.3333333333
59,01065,23388.6956521739
60,01066,
61,01067,20545.2173913043
62,01068,19620.5
63,01069,22579.6
64,01071,35336.0
65,01072,22138.8
66,01073,21771.25
67,01074,20882.6086956522
68,01075,22893.6
69,01076,18523.0
70,01077,20540.3888888889
71,01078,37584.6666666667
72,01079,20196.0
73,01080,21273.5714285714
74,01081,23068.0
75,01082,22664.7619047619
76,01083,22154.0
77,01084,21323.8888888889
78,01085,22413.8095238095
79,01087,22476.0
80,01088,24434.0
81,01089,21614.1785714286
82,01090,20505.0
83,01091,24916.9230769231
84,01092,22144.6666666667
85,01093,20118.0
86,01094,20397.9166666667
87,01095,19968.2926829268
88,01096,21338.6666666667
89,01097,20368.0
90,01098,20725.3333333333
91,01099,23512.5
92,01100,19231.1111111111
93,01101,22004.5
94,01102,20947.3333333333
95,01103,36382.0
96,01104,22047.2
97,01105,25740.4
98,01106,19107.5
99,01107,21548.0
100,01108,20093.3333333333
101,01109,29177.5
102,01110,20374.6153846154
103,01111,20130.4761904762
104,01112,20757.5
105,01113,18627.5
106,01114,23717.1428571429
107,01115,20365.5
108,01116,20261.4285714286
109,01117,21790.9523809524
110,01118,22891.7391304348
111,01119,19077.2
112,01121,19117.0
113,01122,22682.6666666667
114,01123,21421.2
115,01124,20158.0
116,01125,21140.9523809524
117,01127,21944.0
118,01128,19762.0
119,01129,22219.0476190476
120,01130,21047.7777777778
121,01133,20142.3809523809
122,01134,21609.5
123,01135,33432.2222222222
124,01136,21639.347826087
125,01138,18818.6666666667
126,01139,19302.8571428571
127,01140,21962.7777777778
128,01141,22701.25
129,01142,22105.2380952381
130,01143,39644.6666666667
131,01144,19726.0
132,01145,20347.5
133,01146,20858.5714285714
134,01147,18516.1904761905
135,01148,21025.25
136,01149,24164.2857142857
137,01150,21064.5161290323
138,01151,21997.619047619
139,01152,24413.3333333333
140,01153,42190.5
141,01154,19899.0476190476
142,01155,19453.6666666667
143,01156,23545.2380952381
144,01157,24538.2857142857
145,01158,32178.2608695652
146,01159,20792.0
147,01160,25508.3333333333
148,01162,
149,01163,20010.6666666667
150,01165,22155.2380952381
151,01166,23922.6666666667
152,01167,22442.6111111111
153,01169,22981.3043478261
154,01170,20851.9047619048
155,01171,21682.1428571429
156,01172,18463.0
157,01173,29909.5238095238
158,01174,20598.0952380952
159,01175,19838.1043478261
160,01176,19617.0967741935
161,01177,22120.4
162,01179,21098.0952380952
163,01180,37626.6666666667
164,01181,22370.0
165,01182,19426.6666666667
166,01183,22699.4444444444
167,01184,20518.8
168,01185,20198.1481481481
169,01186,
170,01187,19554.3333333333
171,01188,21337.2
172,01189,24640.0
173,01190,
174,01191,18076.1904761905
175,01192,20589.0476190476
176,01193,21037.2
177,01194,21018.4615384615
178,01195,22651.9047619048
179,01196,20743.3333333333
180,01197,23871.5555555556
181,01198,21715.0
182,01199,19591.0
183,01200,18410.9523809524
184,01202,20407.6
185,01203,21579.1666666667
186,01204,19953.7083333333
187,01205,22210.4347826087
188,01206,23616.6666666667
189,01207,23674.1666666667
190,01208,19680.4166666667
191,01209,27290.0
192,01210,22883.3333333333
193,01211,21551.0
194,01212,19551.5384615385
195,01213,21497.619047619
196,01214,20486.0
197,01215,
198,01216,19945.5
199,01218,
200,01219,17723.3333333333
201,01221,20398.0
202,01224,20638.8888888889
203,01225,24268.1666666667
204,01227,22168.3333333333
205,01228,21884.2857142857
206,01229,21033.3333333333
207,01230,18390.6666666667
208,01231,20779.0
209,01232,20095.2380952381
210,01233,20239.0476190476
211,01234,20436.6666666667
212,01235,20523.75
213,01236,20925.7142857143
214,01237,20184.4
215,01238,24850.9523809524
216,01239,21956.7142857143
217,01240,20787.619047619
218,01241,23787.619047619
219,01242,18790.7692307692
220,01243,23687.1428571429
221,01244,21367.619047619
222,01245,22302.2380952381
223,01246,20759.5
224,01247,24002.7777777778
225,01248,25003.3333333333
226,01249,22710.6666666667
227,01250,24702.0952380952
228,01252,22132.0
229,01254,24586.1904761905
230,01255,20468.8
231,01257,24725.2380952381
232,01258,23115.6
233,01259,21736.4285714286
234,01260,24580.0
235,01261,24484.7619047619
236,01262,20005.0
237,01263,22007.6666666667
238,01264,21551.3043478261
239,01265,18042.5
240,01266,20097.3333333333
241,01267,20963.8095238095
242,01268,20582.0
243,01269,16359.6428571429
244,01271,23043.8888888889
245,01272,20780.6666666667
246,01273,20431.9047619048
247,01274,17742.1739130435
248,01275,26940.5555555556
249,01276,23438.7380952381
250,01277,21407.619047619
251,01279,
252,01280,20596.1111111111
253,01281,33760.0
254,01282,22423.0
255,01283,16590.0
256,01284,19513.6
257,01285,25576.8
258,01286,23543.8095238095
259,01288,34081.6666666667
260,01289,21632.0
261,01290,25161.3333333333
262,01291,20583.8095238095
263,01292,22870.0
264,01293,23657.1428571429
265,01294,20582.0833333333
266,01295,21144.0
267,01296,19931.1111111111
268,01297,23924.0
269,01298,28165.7142857143
270,01299,22269.0
271,01300,23764.0
272,01301,22285.2
273,01302,23220.9523809524
274,01303,18981.3333333333
275,01304,20259.3333333333
276,01305,18112.0
277,01306,18463.8333333333
278,01307,20588.4
279,01308,33241.4285714286
280,01309,
281,01310,21377.619047619
282,01311,
283,01312,20849.0
284,01313,35836.1538461538
285,01314,21861.6666666667
286,01316,21917.2863247863
287,01317,20638.3333333333
288,01318,24260.8
289,01319,22046.0
290,01320,21846.6666666667
291,01321,24014.2857142857
292,01322,25531.3333333333
293,01323,20268.0
294,01325,23826.0714285714
295,01328,21592.0
296,01329,19080.6666666667
297,01330,18573.2142857143
298,01331,18264.0
299,01332,22006.6666666667
300,01333,23963.3333333333
301,01334,21349.0
302,01335,21276.6666666667
303,01336,20927.3913043478
304,01337,20760.0
305,01338,20271.6666666667
306,01339,27522.8571428571
307,01340,22076.5
308,01341,23012.2222222222
309,01342,23835.5
310,01343,21008.6666666667
311,01344,23322.3809523809
312,01345,20551.7391304348
313,01346,19616.0
314,01347,25685.7142857143
315,01348,20481.5094339623
316,01349,25848.8
317,01350,20982.6666666667
318,01351,19934.8
319,01352,19645.0
320,01353,24433.5119047619
321,01354,27939.7222222222
322,01355,21386.25
323,01356,21717.2
324,01357,18609.3333333333
325,01358,20648.6666666667
326,01359,24001.8095238095
327,01360,35272.0
328,01361,25276.6666666667
329,01362,24908.8888888889
330,01363,21019.0476190476
331,01364,20650.8333333333
332,01365,21038.6666666667
333,01366,22048.8888888889
334,01367,19544.0
335,01368,20772.9166666667
336,01369,24300.0
337,01370,17647.0
338,01371,21919.1304347826
339,01372,21520.4761904762
340,01373,21022.5
341,01374,22216.1904761905
342,01375,20890.0
343,01376,20345.6
344,01378,24919.5217391304
345,01379,19656.0
346,01380,18993.3333333333
347,01381,20229.0
348,01382,24264.7826086957
349,01383,20174.0
350,01384,17572.0
351,01385,22866.0
352,01386,24242.0
353,01387,21233.3333333333
354,01388,18671.4285714286
355,01389,20584.5
356,01390,22067.3333333333
357,01391,22080.0
358,01392,22448.4
359,01393,21708.9285714286
360,01396,18210.7407407407
361,01397,36092.6666666667
362,01398,22708.7777777778
363,01399,36587.7777777778
364,01400,19375.3333333333
365,01401,38509.5238095238
366,01402,19063.9090909091
367,01403,19902.0
368,01404,24565.625
369,01405,20328.8
370,01406,18148.0
371,01407,20170.5
372,01408,20362.1428571429
373,01409,20345.8064516129
374,01410,25296.5
375,01411,19506.0
376,01412,22069.0
377,01413,
378,01414,21404.6666666667
379,01415,20308.5714285714
380,01416,17848.0
381,01417,19460.4166666667
382,01418,26382.0
383,01419,32700.6666666667
384,01420,17392.0
385,01421,20493.3333333333
386,01422,22722.4
387,01423,24674.0
388,01424,27558.5714285714
389,01425,21930.8095238095
390,01426,20926.5
391,01427,20763.8888888889
392,01428,19735.3333333333
393,01429,20967.6666666667
394,01430,21813.8888888889
395,01431,21245.2
396,01432,21804.7826086957
397,01433,18720.4761904762
398,01434,21916.6666666667
399,01435,32032.8571428571
400,01436,35332.0
401,01437,17691.0
402,01439,19544.0
403,01441,19942.5
404,01442,22377.3333333333
405,01443,21743.3333333333
406,01444,20278.0
407,01445,21386.6666666667
408,01446,22120.0
409,01447,20046.0
410,01448,28353.6956521739
411,01449,23435.0
412,01450,23136.0
413,01451,22052.8571428571
414,01452,18173.0
415,01453,19219.5
416,01454,19623.0
417,01456,
418,01457,19073.3333333333
419,02001,18672.7777777778
420,02002,19515.7142857143
421,02003,20505.3333333333
422,02004,17064.7619047619
423,02005,21706.0
424,02006,20107.6666666667
425,02007,21565.0
426,02008,18634.5
427,02009,19694.6875
428,02010,17828.7096774194
429,02011,21080.4
430,02012,
431,02013,20520.4761904762
432,02014,19674.4444444444
433,02015,
434,02016,19492.5
435,02017,19028.5
436,02018,18155.3333333333
437,02019,19384.0
438,02020,17499.0476190476
439,02021,
440,02022,19662.3076923077
441,02023,21093.1111111111
442,02024,
443,02025,20904.0
444,02026,19817.037037037
445,02027,18615.6
446,02028,20000.0
447,02029,21015.7142857143
448,02030,17343.4615384615
449,02031,15256.0
450,02032,16721.875
451,02033,19777.1428571429
452,02034,21962.8571428571
453,02035,16676.7857142857
454,02036,
455,02037,19619.0
456,02038,
457,02039,17175.5555555556
458,02040,17173.6666666667
459,02041,19886.0
460,02042,20968.8888888889
461,02043,
462,02044,
463,02046,19691.0
464,02047,19412.1333333333
465,02048,19111.2
466,02049,20435.0
467,02050,17359.1304347826
468,02051,22624.9710144928
469,02052,19049.3333333333
470,02053,22678.3333333333
471,02054,20188.7101449275
472,02055,21763.8888888889
473,02056,19041.5384615385
474,02057,16548.0
475,02058,18126.6666666667
476,02059,16053.0
477,02060,19383.3333333333
478,02061,17586.4516129032
479,02062,19558.5
480,02063,18296.1904761905
481,02064,18466.0
482,02065,17727.3333333333
483,02066,20284.0
484,02067,18633.5
485,02068,18729.0
486,02069,15644.6666666667
487,02070,18980.6666666667
488,02071,21000.6666666667
489,02072,22016.0
490,02073,19535.5833333333
491,02074,19960.4761904762
492,02075,21162.2222222222
493,02076,22116.1904761905
494,02077,20604.0
495,02078,17125.3333333333
496,02079,15282.6666666667
497,02080,21940.0
498,02081,20199.5652173913
499,02082,19708.0
500,02083,20770.6666666667
501,02084,21413.8095238095
502,02085,19808.0952380952
503,02086,20029.5
504,02087,
505,02088,
506,02089,20113.9047619048
507,02090,19706.6666666667
508,02091,21834.6428571429
509,02093,17452.1739130435
510,02094,22693.75
511,02095,14338.3333333333
512,02096,19970.9523809524
513,02097,18599.0
514,02098,20975.2
515,02099,21649.3333333333
516,02100,18339.0
517,02101,19463.4210526316
518,02102,21644.4444444444
519,02103,17802.5
520,02104,23576.8
521,02105,19484.6666666667
522,02106,17868.0
523,02107,
524,02108,20853.0
525,02109,18276.8
526,02110,18226.6666666667
527,02111,20764.0
528,02112,18825.5555555556
529,02114,20993.6
530,02115,18288.0
531,02116,15945.625
532,02117,
533,02118,22212.0
534,02119,19078.0952380952
535,02120,17685.4166666667
536,02121,17981.0
537,02122,
538,02123,20145.0
539,02124,18714.375
540,02125,20107.4542124542
541,02126,16075.625
542,02127,18874.5833333333
543,02128,21060.0
544,02129,
545,02130,18390.8695652174
546,02131,20791.4285714286
547,02132,22608.0952380952
548,02133,16520.4761904762
549,02134,17396.25
550,02135,15968.0833333333
551,02136,17016.5
552,02137,20677.3333333333
553,02138,23363.8095238095
554,02139,21106.6666666667
555,02140,19258.125
556,02141,16720.0
557,02142,21456.6666666667
558,02143,16868.5
559,02144,22897.3333333333
560,02145,20656.0869565217
561,02146,
562,02147,17837.2413793103
563,02148,19180.0
564,02149,
565,02150,
566,02151,23305.4583333333
567,02152,
568,02153,20345.1851851852
569,02154,19762.8
570,02155,21866.6666666667
571,02156,20195.2380952381
572,02157,21170.0
573,02158,17646.5
574,02159,19404.2857142857
575,02160,16733.4782608696
576,02161,21853.2
577,02162,19117.0833333333
578,02163,19138.5714285714
579,02164,19313.3333333333
580,02165,18225.0
581,02166,21308.0952380952
582,02167,20142.0
583,02168,17385.0
584,02169,
585,02170,20742.4137931035
586,02171,21754.0
587,02172,19908.3333333333
588,02173,16356.6666666667
589,02174,19454.6666666667
590,02175,19217.3333333333
591,02176,17610.0
592,02177,22668.8888888889
593,02178,17477.5714285714
594,02179,20025.0
595,02180,19151.1111111111
596,02181,
597,02182,17717.6
598,02183,21889.1304347826
599,02184,17898.0
600,02185,20339.2
601,02186,21585.3846153846
602,02187,21401.3333333333
603,02188,17392.6086956522
604,02189,16715.1666666667
605,02190,20443.3333333333
606,02191,20486.1904761905
607,02192,20716.9230769231
608,02193,
609,02194,19608.6666666667
610,02195,20769.0476190476
611,02196,20780.0
612,02197,19426.6666666667
613,02198,21397.0
614,02199,18974.0
615,02200,16093.6
616,02201,19705.4166666667
617,02203,18025.0
618,02204,
619,02205,18515.5
620,02206,
621,02207,22599.0476190476
622,02208,21601.3333333333
623,02209,17725.7142857143
624,02210,19962.5
625,02211,20088.5714285714
626,02212,19777.6666666667
627,02213,19894.0
628,02214,
629,02215,19903.0
630,02216,22033.9285714286
631,02217,18638.0
632,02218,18780.4166666667
633,02219,18856.6666666667
634,02220,20339.0476190476
635,02221,20667.6
636,02222,
637,02223,18950.0
638,02224,17927.0833333333
639,02225,
640,02226,19761.0
641,02227,20894.2857142857
642,02228,20552.0
643,02229,
644,02230,21119.6
645,02231,18162.0833333333
646,02232,21996.8461538462
647,02233,23829.0476190476
648,02234,
649,02235,19308.6666666667
650,02236,18538.0952380952
651,02237,17557.7777777778
652,02238,18834.6666666667
653,02239,17931.1111111111
654,02240,18488.75
655,02241,19233.0434782609
656,02242,21079.0
657,02243,18636.6666666667
658,02244,
659,02245,19075.5555555556
660,02246,20272.0
661,02248,18042.0
662,02249,21880.6666666667
663,02250,
664,02251,
665,02252,
666,02253,21299.5238095238
667,02254,20065.7142857143
668,02255,19163.8888888889
669,02256,15446.6666666667
670,02257,23414.5833333333
671,02258,20868.6956521739
672,02259,23086.4
673,02260,17980.0
674,02261,19719.6041666667
675,02262,19298.0
676,02263,19182.1666666667
677,02264,16743.0
678,02265,
679,02266,
680,02267,19226.9230769231
681,02268,20444.2307692308
682,02269,20276.6666666667
683,02270,17953.0
684,02271,19382.9166666667
685,02272,
686,02273,19296.0
687,02274,18726.0
688,02275,14194.6666666667
689,02276,19792.5
690,02277,17965.652173913
691,02278,
692,02279,21610.9523809524
693,02280,20854.2857142857
694,02281,20590.3846153846
695,02282,18421.1111111111
696,02283,16569.3333333333
697,02284,
698,02286,17915.0
699,02287,22151.3333333333
700,02288,18943.0
701,02289,21082.0
702,02290,20846.0
703,02291,18497.0
704,02292,19930.0
705,02293,18959.6
706,02294,21909.0
707,02295,16092.7222222222
708,02296,20197.3333333333
709,02297,21613.3333333333
710,02298,17027.6923076923
711,02299,19460.0
712,02301,19815.0
713,02302,21149.5
714,02303,27701.5384615385
715,02304,13937.2222222222
716,02305,16890.9523809524
717,02306,18258.0
718,02307,20268.3333333333
719,02308,16354.0
720,02309,18486.0
721,02310,19211.3333333333
722,02311,19185.0
723,02312,17202.0
724,02313,17199.0
725,02315,18390.0
726,02316,24224.4
727,02317,21721.8333333333
728,02318,17536.5
729,02319,18060.8695652174
730,02320,20541.6
731,02321,20150.0
732,02322,20823.3333333333
733,02323,23047.2222222222
734,02324,17102.6086956522
735,02325,20857.5769230769
736,02326,20876.6666666667
737,02327,15764.0
738,02328,22642.6666666667
739,02329,21970.0
740,02330,23799.5238095238
741,02331,18931.1111111111
742,02332,19496.6666666667
743,02333,17674.0
744,02334,16681.5384615385
745,02335,19856.6666666667
746,02336,20474.6666666667
747,02337,18638.1666666667
748,02338,18146.1904761905
749,02339,20305.2173913043
750,02340,18333.8461538462
751,02341,20901.4285714286
752,02342,17942.5
753,02343,
754,02344,
755,02345,
756,02346,18619.4444444444
757,02347,22928.5
758,02348,18887.3333333333
759,02349,
760,02350,16619.2230769231
761,02351,19152.0
762,02352,16814.2857142857
763,02353,18783.4615384615
764,02354,
765,02355,20885.0
766,02356,18238.0952380952
767,02357,
768,02358,16597.3333333333
769,02359,19731.3333333333
770,02360,20325.3333333333
771,02361,15266.8055555556
772,02362,20417.3913043478
773,02363,17274.6428571429
774,02364,23185.0833333333
775,02366,17291.8518518519
776,02367,19324.8333333333
777,02368,21208.5714285714
778,02369,16622.6666666667
779,02370,18816.6666666667
780,02371,19344.6666666667
781,02372,20218.0
782,02373,19103.3333333333
783,02374,18323.0
784,02375,21569.1388888889
785,02376,21510.0
786,02377,16900.0
787,02378,18665.0
788,02379,20457.3333333333
789,02380,
790,02381,15034.0
791,02382,21384.6666666667
792,02383,20959.0
793,02384,
794,02385,16452.6666666667
795,02386,16239.3333333333
796,02387,21386.6666666667
797,02388,18031.0
798,02389,20628.5714285714
799,02390,18500.0
800,02391,17786.5833333333
801,02392,21431.3333333333
802,02393,22223.5897435897
803,02395,19623.3333333333
804,02396,
805,02397,18632.0
806,02398,19639.6
807,02399,19598.5714285714
808,02400,20229.0476190476
809,02401,19095.1666666667
810,02402,
811,02403,18798.5714285714
812,02404,18751.4285714286
813,02405,18700.0
814,02406,20588.9285714286
815,02407,21559.0
816,02408,16019.5652173913
817,02409,17984.6666666667
818,02410,23490.5
819,02411,20671.9230769231
820,02412,17746.2380952381
821,02413,19337.8260869565
822,02414,17771.3333333333
823,02415,22280.9523809524
824,02416,17448.0
825,02417,
826,02418,17280.6666666667
827,02419,18967.619047619
828,02420,21578.5
829,02421,
830,02422,17970.5555555556
831,02423,18341.3333333333
832,02424,20425.3333333333
833,02425,17162.6666666667
834,02426,20010.3846153846
835,02427,16902.4137931035
836,02428,
837,02429,21736.5384615385
838,02430,18043.3333333333
839,02431,19857.1428571429
840,02432,18902.0
841,02433,19506.6666666667
842,02434,21107.619047619
843,02435,
844,02438,20518.5
845,02439,18808.6666666667
846,02440,17873.75
847,02441,22194.8387096774
848,02442,
849,02443,21241.7391304348
850,02444,17558.6666666667
851,02445,17174.7619047619
852,02446,23019.1304347826
853,02447,17188.0
854,02448,17956.6666666667
855,02449,
856,02450,19137.5
857,02451,19142.0
858,02452,20934.4
859,02453,19029.3333333333
860,02454,18275.7142857143
861,02455,17070.4761904762
862,02456,18932.0
863,02457,17773.4782608696
864,02458,20747.7777777778
865,02459,21832.2222222222
866,02460,17516.0714285714
867,02461,18975.2380952381
868,02462,18876.1111111111
869,02463,
870,02464,20285.5555555556
871,02465,20860.7692307692
872,02466,19888.6666666667
873,02467,
874,02468,16161.0
875,02469,17961.9047619048
876,02470,16631.9047619048
877,02471,18979.5555555556
878,02472,18063.3333333333
879,02473,18853.3333333333
880,02474,19806.0
881,02475,21463.3333333333
882,02476,16284.4444444444
883,02477,22336.6666666667
884,02478,19569.0
885,02479,
886,02480,19423.3333333333
887,02481,26683.75
888,02482,
889,02483,20673.0
890,02484,20006.6666666667
891,02485,
892,02486,17113.3333333333
893,02487,21953.4782608696
894,02488,19375.5
895,02489,21544.6666666667
896,02490,23307.3333333333
897,02491,17385.7142857143
898,02492,19293.1333333333
899,02493,19033.0
900,02494,21128.3333333333
901,02495,17944.2857142857
902,02496,21433.9393939394
903,02497,20846.6666666667
904,02498,18820.6666666667
905,02499,
906,02500,17445.8333333333
907,02501,
908,02502,15688.0
909,02503,17977.3333333333
910,02504,17569.5238095238
911,02505,22160.9523809524
912,02506,22527.5
913,02507,
914,02508,22703.4782608696
915,02509,20329.5238095238
916,02510,21366.1111111111
917,02511,17985.7142857143
918,02512,20910.4761904762
919,02513,19369.3333333333
920,02514,19516.5
921,02515,
922,02516,
923,02517,18887.3076923077
924,02518,21743.2
925,02519,15730.0
926,02520,19590.0
927,02521,20995.7692307692
928,02522,
929,02523,
930,02524,21893.0
931,02525,22642.0
932,02526,
933,02527,18335.0
934,02528,22111.0
935,02529,18708.0
936,02530,
937,02531,17130.4761904762
938,02532,19385.6
939,02533,21746.0
940,02534,
941,02535,18692.6666666667
942,02536,
943,02537,21243.3333333333
944,02538,
945,02539,18265.5833333333
946,02540,21567.7777777778
947,02541,20124.7826086957
948,02542,23378.5714285714
949,02543,17811.75
950,02544,17496.1904761905
951,02545,19114.1666666667
952,02546,18943.3333333333
953,02547,
954,02548,19167.2222222222
955,02549,21469.6
956,02550,16676.6666666667
957,02551,16946.9230769231
958,02552,20779.0476190476
959,02553,18241.6666666667
960,02554,22136.6666666667
961,02555,19174.5085470085
962,02556,
963,02557,19558.7878787879
964,02558,16549.3103448276
965,02559,17950.5
966,02560,19272.3076923077
967,02561,24542.8076923077
968,02562,18233.5
969,02563,18727.6666666667
970,02564,20041.6666666667
971,02565,20115.652173913
972,02566,20822.2222222222
973,02567,16208.0
974,02568,25655.0
975,02569,16384.2857142857
976,02570,17855.0
977,02571,21441.3333333333
978,02572,23874.7826086957
979,02573,
980,02574,17570.0
981,02575,17619.2
982,02576,20311.4285714286
983,02577,
984,02578,
985,02579,18692.6666666667
986,02580,17697.0833333333
987,02581,20369.8095238095
988,02582,
989,02583,
990,02584,19280.5555555556
991,02585,22249.5238095238
992,02586,19916.9565217391
993,02587,21345.2173913043
994,02588,
995,02589,22235.3571428571
996,02590,20958.0
997,02591,19360.0
998,02592,21496.1904761905
999,02593,22303.8095238095
1000,02594,20253.5
1001,02595,22723.5
1002,02596,19450.6666666667
1003,02597,
1004,02598,21005.0
1005,02599,18902.8571428571
1006,02600,18868.0
1007,02601,19981.3333333333
1008,02602,17525.5555555556
1009,02604,
1010,02605,19402.0
1011,02606,
1012,02607,
1013,02608,16564.2857142857
1014,02609,
1015,02610,21363.0434782609
1016,02612,18996.0
1017,02613,20920.9523809524
1018,02614,18832.0
1019,02615,23956.5
1020,02616,20480.0
1021,02617,19662.6666666667
1022,02618,17550.8695652174
1023,02619,20780.9523809524
1024,02620,18507.0
1025,02621,24897.5
1026,02622,
1027,02623,15967.0
1028,02624,19083.3333333333
1029,02625,17176.1111111111
1030,02626,21112.1428571429
1031,02627,20408.0952380952
1032,02628,23720.9523809524
1033,02629,17853.25
1034,02631,17866.5
1035,02632,
1036,02633,
1037,02634,
1038,02635,21576.8
1039,02636,20808.6666666667
1040,02637,22274.7619047619
1041,02638,19892.380952381
1042,02639,19618.0952380952
1043,02640,16607.2222222222
1044,02641,15412.0
1045,02642,18291.0
1046,02643,20685.5
1047,02644,20865.0
1048,02645,18430.0
1049,02646,
1050,02647,
1051,02648,17199.3333333333
1052,02649,20096.461352657
1053,02650,17796.4487179487
1054,02651,20446.7777777778
1055,02652,17764.4444444444
1056,02653,21892.6666666667
1057,02654,
1058,02655,20283.3333333333
1059,02656,22001.6
1060,02657,15716.6666666667
1061,02658,20058.0
1062,02659,24054.4
1063,02660,
1064,02661,22169.0
