,CODGEO,MED
0,01,22020.47619047619
1,02,18604.285714285717
2,03,19313.33333333333
3,04,19498.09523809524
4,05,19725.714285714286
5,06,20987.6
6,07,19613.0
7,08,18541.180555555555
8,09,18715.555555555555
9,10,19481.0
10,11,18130.0
11,12,19565.0
12,13,20287.0
13,14,20276.19047619048
14,15,19260.444444444445
15,16,19627.33333333333
16,17,20032.0
17,18,19772.0
18,19,19902.666666666668
19,21,21223.75
20,22,20064.23076923077
21,23,18354.4
22,24,19065.0
23,25,21324.666666666668
24,26,19843.33333333333
25,27,20554.285714285717
26,28,20961.36666666667
27,29,20481.0
28,2A,20072.666666666668
29,2B,18530.434782608696
30,30,18945.65714285714
31,31,21989.0
32,32,19687.33333333333
33,33,21072.777777777777
34,34,19319.0
35,35,20926.0
36,36,19174.666666666668
37,37,20710.217391304348
38,38,21672.85714285714
39,39,20534.285714285717
40,40,20229.0
41,41,20328.666666666668
42,42,19728.571428571428
43,43,19604.0
44,44,21276.0
45,45,20921.33333333333
46,46,19664.666666666668
47,47,18917.33333333333
48,48,19346.153846153844
49,49,19941.2
50,50,19758.09523809524
51,51,20549.04761904762
52,52,19091.33333333333
53,53,19686.666666666664
54,54,20502.38095238095
55,55,19453.33333333333
56,56,20359.444444444445
57,57,20498.0
58,58,19358.666666666668
59,59,18920.0
60,60,20956.25
61,61,19060.0
62,62,18099.285714285717
63,63,20812.85714285714
64,64,20788.0
65,65,19522.5
66,66,18388.0
67,67,21512.424242424244
68,68,21919.0
69,69,21746.19047619048
70,70,19460.0
71,71,19736.666666666668
72,72,19932.0
73,73,21802.0
74,74,25001.14285714286
75,75,26430.9
76,76,20153.0
77,77,22338.666666666668
78,78,25616.4
79,79,19676.34523809524
80,80,19204.666666666668
81,81,19365.33333333333
82,82,19007.321428571428
83,83,20507.33333333333
84,84,18886.666666666668
85,85,20073.0
86,86,19933.5
87,87,19953.33333333333
88,88,19126.0
89,89,19807.777777777777
90,90,20632.4
91,91,22978.0
92,92,26225.0
93,93,16761.5
94,94,21726.25
95,95,21001.0
96,972,16654.583333333336
97,974,14258.0
