,CODGEO,MED
0,01,21489.6666666667
1,02,18300.0
2,03,18966.1904761905
3,04,19003.3333333333
4,05,19199.0
5,06,20308.6666666667
6,07,19154.0
7,08,18171.0
8,09,18522.6086956522
9,10,19120.7407407407
10,11,17653.3333333333
11,12,19134.0
12,13,19784.2857142857
13,14,19850.0
14,15,18710.6666666667
15,16,19265.3333333333
16,17,19631.0
17,18,19440.7142857143
18,19,19345.6
19,21,20855.2666666667
20,22,19844.0
21,23,17745.5
22,24,18755.7142857143
23,25,20643.9285714286
24,26,19391.3333333333
25,27,20287.9166666667
26,28,20715.5
27,29,20267.3333333333
28,2A,19490.5
29,2B,17993.0
30,30,18419.5238095238
31,31,21791.5384615385
32,32,19487.3333333333
33,33,20800.5
34,34,18764.6666666667
35,35,20688.2608695652
36,36,18926.5714285714
37,37,20402.6666666667
38,38,21213.3333333333
39,39,19920.4761904762
40,40,20024.6428571429
41,41,19991.0
42,42,19317.3333333333
43,43,19208.3333333333
44,44,20796.6666666667
45,45,20677.6470588235
46,46,19262.2222222222
47,47,18618.0
48,48,18788.1666666667
49,49,19479.5535714286
50,50,19249.0476190476
51,51,20153.0769230769
52,52,18717.9411764706
53,53,19295.0
54,54,20206.0
55,55,19150.6666666667
56,56,20117.9166666667
57,57,20149.3333333333
58,58,18971.0
59,59,18574.6666666667
60,60,20632.6666666667
61,61,18684.0
62,62,17706.1904761905
63,63,20490.5555555556
64,64,20510.0
65,65,19359.3333333333
66,66,17906.6666666667
67,67,21495.3333333333
68,68,21803.3333333333
69,69,21267.1428571429
70,70,18993.8888888889
71,71,19363.4782608696
72,72,19586.6666666667
73,73,21195.4166666667
74,74,24022.5
75,75,25981.3333333333
76,76,19811.3333333333
77,77,22006.5
78,78,25420.6666666667
79,79,19335.3333333333
80,80,18879.0
81,81,19143.9285714286
82,82,18689.0476190476
83,83,19933.0
84,84,18380.0
85,85,19632.6666666667
86,86,19654.0
87,87,19492.0
88,88,18946.0869565217
89,89,19526.0
90,90,20072.0
91,91,22819.3333333333
92,92,25787.1428571429
93,93,16744.6428571429
94,94,21526.0
95,95,20778.3125
